,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,27,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,25,20,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,25,17,9,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,24,16,10,9,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,23,18,10,8,13,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,15,9,6,11,16,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,22,14,8,6,11,15,15,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,21,13,8,6,10,14,13,17,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,21,14,8,6,12,13,12,17,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,21,15,7,6,11,12,12,17,10,10,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,20,15,6,6,12,11,12,16,9,8,11,13,-1,-1,-1,-1,-1,-1,-1,-1
12,20,15,7,6,11,11,11,14,9,9,10,12,17,-1,-1,-1,-1,-1,-1,-1
13,20,16,7,6,11,10,11,13,10,9,8,12,16,11,-1,-1,-1,-1,-1,-1
14,20,17,7,6,11,10,13,13,10,9,7,13,17,10,11,-1,-1,-1,-1,-1
15,20,17,7,6,11,9,13,13,10,10,7,13,14,7,10,12,-1,-1,-1,-1
16,19,17,7,6,11,9,14,13,10,10,7,12,15,7,9,11,15,-1,-1,-1
17,19,17,7,6,11,10,14,12,10,10,7,11,15,7,9,11,11,18,-1,-1
18,18,17,7,6,11,10,14,12,9,10,7,12,15,7,9,11,9,14,16,-1
19,18,16,6,6,11,10,14,12,9,10,7,11,15,7,9,11,9,14,14,13
